name,address,price,neighborhood,county,type,reviews,stars,match_camis,match_distance,match_name
Walls,"344 W. 11th St.,New York, NY  10014",3,West Village ,New York County, Austrian,145,4.2,40741728,0.14389369022881449,wallse restaruant
Vintage Irving,"118 East 15th Street,New York, NY  10003",3,Union Square ,New York County, Continental,31,3.6,50009923,0.1284232930737022,dear irving
Vince and Eddie's,"70 West 68th Street,New York, NY  10019",3,Lincoln Center ,New York County, American,59,3.4,41632211,0.19204109594509697,indie food and wine
The Village Trattoria,"135 West 3rd Street,New York, NY  10012",2,Greenwich Village ,New York County, Italian,5,3.4,40914459,0.029351001384189588,village underground
Vintage Bar & Restaurant,"753 9th Ave,New York, NY  10019",2,Hell's Kitchen ,New York County, Comfort Food,15,3.2,50042118,0.09850985360375124,viv restaurant
Virgil's,"152 W 44th Street,New York, NY  10036",2,Theater District / Times Square ,New York County, American,408,3.8,40397780,0.00460139961728024,virgil's bbq
Via Dei Mille,"357 West Broadway,New York, NY  10013",3,SoHo ,New York County, Italian,45,3.8,40400366,0.10690036072977889,vin et fleurs
ViceVersa,"325 West 51st Street,New York, NY  10019",3,Hell's Kitchen ,New York County, Italian,169,4.0,40697681,0.0018923489559520862,vice versa
Victor's Caf,"236 West 52nd Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Cuban,385,4.2,40373500,0.0013315557525269005,victor's cafe
The View Restaurant,"1535 Broadway,New York, NY  10036",4,Theater District / Times Square ,New York County, Contemporary American,491,4.0,40750279,0.0019487194980468358,view restaurant
Vetro by Russo's on the Bay,"164-49 Cross Bay Blvd,Howard Beach, NY  11414",3,Howard Beach ,Queens County, Italian,60,4.6,41434593,0.01521421288846913,vetro
Veritas,"43 East 20th St.,New York, NY  10003",4,Gramercy / Flatiron ,New York County, Contemporary American,10,4.2,40399817,0.1083350162933718,novita
Veloce Pizzeria,"103 1st Avenue,New York, NY  10003",2,East Village ,New York County, Italian,13,4.1,41634185,0.004722219978703608,empellon cocina
Vareli,"2869 Broadway,New York, NY  10025",2,Upper West Side ,New York County, Mediterranean,76,3.8,50056274,0.1908938349405912,marlow bistro
Vatan Indian Restaurant,"409 Third Avenue,New York, NY  10016",3,Murray Hill ,New York County, Indian,71,4.1,50036651,0.0007617717470561658,vatan
Veranda,"130 7th Ave. South,New York, NY  10014",2,West Village ,New York County, Mediterranean,13,3.2,41452375,0.042663338392394376,ofrenda
Vandaag,"103 2nd Avenue,New York, NY  10003",3,East Village ,New York County, European,46,3.4,41214353,0.047843232302461666,standings
Venezia Restaurant & Bar,"2071 Clove Rd.,Staten Island, NY  10304",2,Staten Island ,Richmond County, Italian,1,4.0,40686672,0.74106859036067,perkins restaurant & bakery
Valentino's on the Green,"201-10 Cross Island Parkway,Bayside, NY  11360",3,Bayside ,Queens County, Italian,66,3.7,40397439,0.9167162378968506,ben's kosher deli & restaurant
Vai Restaurant,"225 West 77th Street,New York, NY  10024",2,Upper West Side ,New York County, Mediterranean,97,3.6,40396596,0.07716848568677022,new wave cafe & restaurant
Utsav Indian Restaurant & Lounge,"1185 Avenue of the Americas,New York, NY  10036",3,Theater District / Times Square ,New York County, Indian,66,3.9,40727750,0.0010531703040537444,utsav festive india restaurant
Valbella,"421 West 13th Street,New York, NY  10014",4,Meatpacking District ,New York County, Italian,86,4.3,41156951,0.005598973378105961,valbella n.y.
Union Square Cafe,"21 East 16th St.,New York, NY  10003",3,Union Square ,New York County, American,844,4.3,50008485,0.0764090272611911,the pavilion market cafe
Uncle Jack's Steakhouse - Westside 9th Avenue,"440 9th Avenue,New York, NY  10001",3,Midtown West ,New York County, Steak,89,4.2,40991835,0.0006182589889665078,uncle jack's steakhouse
Tycoon - Body Sushi,"252 West 43rd Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Sushi,-1,-1,41177886,0.06796493912485246,hilton times square
Uncle Jack's Steakhouse - Bayside,"39-40 Bell Blvd.,Queens, NY  11361",3,Bayside ,Queens County, Steakhouse,51,4.5,41223838,0.00023619272267710547,uncle jacks steakhouse
Uncle Jack's Steakhouse - Midtown 56th Street,"44 West 56th Street,New York, NY  10019",3,Midtown West ,New York County, Steak,71,4.2,41294786,0.0,uncle jack's steakhouse
TY - Four Seasons New York,"57 East 57th St.,New York, NY  10022",2,Midtown East ,New York County, American,-1,-1,50004296,0.0,four seasons hotel new york
Turks and Frogs - Tribeca,"458  Greenwich St.,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Turkish,43,3.7,41185792,0.24935173397976795,mr. chow tribecca
Triomphe,"49 West 44th Street,New York, NY  10036",3,Midtown West ,New York County, French,147,4.2,40718835,0.0013497919418092267,triomphe
Trinity Place,"115 Broadway,New York, NY  10006",2,Financial District ,New York County, Contemporary American,28,3.8,41175648,0.0,trinity place bar & restaurant
Tribeca Grill,"375 Greenwich St,New York, NY  10013",3,TriBeCa - Downtown ,New York County, American,409,4.0,40393725,0.0017763078732011405,tribeca grill
Trestle on Tenth,"242 Tenth Avenue,New York, NY  10001",3,Chelsea ,New York County, Contemporary American,114,3.9,41169319,0.0,trestle on tenth/rocket pig
Tree,"190 1st Ave.,New York, NY  10009",2,East Village ,New York County, French,81,3.6,41234254,0.00038818526937691697,tree
Tredici Steak,"128 West 26th Street,New York, NY  10001",3,Chelsea ,New York County, Steak,65,3.9,50004144,0.07839440712574197,one star
Tre Otto,"1408 Madison Avenue,New York, NY  10029",3,Upper East Side ,New York County, Italian,45,3.6,50017944,0.004860869536627284,tre otto
Trattoria Dell'Arte,"900 Seventh Avenue,New York, NY  10019",3,Midtown West ,New York County, Italian,306,3.9,40387754,0.0,trattoria della arte
Travertine,"19 Kenmare Street,New York, NY  10012",3,NoLita ,New York County, Italian,70,3.8,50047836,0.08489398342770502,market ipanema
Tre,"173 Ludlow Street,New York, NY  10002",3,Lower East Side ,New York County, Italian,31,3.7,41237165,0.00040924659723853943,tre
Tre Dici,"128 West 26th Street,New York, NY  10001",3,Chelsea ,New York County, Italian,68,4.0,50039512,0.10962608911835094,the corner cafe
Tout Va Bien,"311 west 51st street,New York, NY  10019",3,Midtown West ,New York County, French,68,4.0,40364576,0.0,tout va bien
Trattoria Cinque,"363 Greenwich Street,New York, NY  10013",2,TriBeCa - Downtown ,New York County, Italian,179,3.5,40399174,0.1284212986256577,gigino trattoria
Tony's Di Napoli - Midtown,"147 West 43rd Street,New York, NY  10036",2,Midtown West ,New York County, Italian,407,4.2,40928150,0.001072502053761104,tony's di napoli
Top of the Tower,"3 Mitchell Place,26th Floor,New York, NY  10017",2,Midtown East ,New York County, Contemporary American,87,3.7,50001786,0.1621199354579409,dag's the patio
Touch of India,"232 West 37th Street,New York, NY  10018",2,Theater District / Times Square ,New York County, Indian,1,3.0,41493832,0.09848639695524841,bonchon
Tony's Di Napoli,"1606 2nd Avenue,New York, NY  10028",2,Upper East Side ,New York County, Italian,64,4.1,40383511,0.06590914194346938,brandy's piano bar
Tom & Toon,"241 West 51st St.,New York, NY  10019",2,Theater District / Times Square ,New York County, American,20,3.7,41490270,0.0038968622986934242,broadway thai @tom & toon
Toloache,"251 West 50th Street,New York, NY  10012",2,Theater District / Times Square ,New York County, Mexican,316,4.0,41012907,0.0,toloache mexican bistro
Tolani,"410 Amsterdam Ave,New York, NY  10024",2,Upper West Side ,New York County, European,23,4.3,41004578,0.004682372302813861,bettola
Tipsy Parson,"156 Ninth Avenue,New York, NY  10011",3,Chelsea ,New York County, American,116,4.0,41402275,0.0028477503199423335,tipsy parson
THOR,"107 Rivington Street,New York, NY  10002",2,Lower East Side ,New York County, International,15,2.9,50001966,0.05155014412317928,contra
Tocqueville,"1 East 15th Street,New York, NY  10003",4,Union Square ,New York County, American,180,4.3,41148766,0.012479065095571448,tocqueville restaurant
Thalia,"828 Eighth Avenue,New York, NY  10019",3,Theater District / Times Square ,New York County, American,36,4.1,40709138,0.0,thalia
Thalassa,"179 Franklin Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Greek,122,4.0,40928698,0.00069511740030243,thalassa
Testaccio Ristorante,"47-30 Vernon Blvd.,Long Island City, NY  11101",3,Long Island City ,Queens County, Italian,25,3.8,40393985,0.17057296688848375,manetta's ristorante
Terrace in the Sky,"400 West 119th Street,New York, NY  10027",4,Upper West Side ,New York County, French,43,3.6,41659920,0.2256472618160062,say it with cake
Telepan,"72 W. 69th Street,New York, NY  10023",4,Upper West Side ,New York County, Contemporary American,430,4.3,41142211,0.02829829453701656,telepan
Taureau,"127 East 7th Street,New York, NY  10009",3,East Village ,New York County, Fondue,102,4.5,41705988,0.024921191596240944,kura
T-BAR Steak & Lounge,"1278 3rd Avenue,New York, NY  10028",3,Upper East Side ,New York County, Steakhouse,118,3.9,40400657,0.0,t-bar steak & lounge
Tartinery,"209 Mulberry Street,New York, NY  10012",2,NoLita ,New York County, French,56,3.6,41471168,0.00037168949374569214,tartinery
Tapeo 29,"29 Clinton Street,New York, NY  10002",2,Lower East Side ,New York County, Tapas / Small Plates,40,4.1,41090212,0.0,tapeo 29
Tarallucci E Vino,"15 East 18th Street,New York, NY  10003",3,Gramercy / Flatiron ,New York County, Italian,57,3.8,41130819,0.001153927202402182,tarallucci e vino
Tao,"42 East 58th Street,New York, NY  10022",3,Midtown East ,New York County, Asian,826,4.0,40795021,0.006401822032888897,tao restaurant
Tamarind,"41-43 E. 22nd St,New York, NY  10010",3,Gramercy / Flatiron ,New York County, Indian,267,4.2,40966216,0.06863839311354598,almond
Tacocina Restaurant,"714 9th Avenue,New York, NY  10019",2,Hell's Kitchen ,New York County, Mexican / Southwestern,21,3.8,41644987,0.07039547445742003,amarone restaurant
Tamarind - Tribeca,"99 Hudson Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Indian,188,4.1,41476195,0.0032007664869693176,tamarind tribeca
Tamba Indian Grill and Bar,"103 Lexington Ave,New York, NY  10016",2,Murray Hill ,New York County, Indian,-1,-1,41417674,0.0015542420367441697,tamba indian grill & bar
Taj - New York,"48 W. 21st Street,New York, NY  10010",3,Gramercy / Flatiron ,New York County, French / Indian,10,3.4,41138498,0.04563022413703869,new york burger co
Taboon,"773 10th Avenue,New York, NY  10019",4,Hell's Kitchen ,New York County, Middle Eastern,34,4.1,40995536,0.0,taboon
Tabla,"11 Madison Avenue,New York, NY  10010",3,Gramercy / Flatiron ,New York County, Indian,367,4.1,50033222,0.10335133238129246,just salad
Swizz Restaurant,"310 West 53rd Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Fondue,43,4.2,41079532,0.10274145537941128,shimizu restaurant
SUteiShi,"24 Peck Slip,New York, NY  10038",3,Financial District ,New York County, Japanese,23,4.1,41219569,0.0008721032583189549,suteishi
SUSHISAMBA 7,"87 Seventh Avenue South,New York, NY  10014",3,Greenwich Village ,New York County, Japanese,143,3.9,40797452,0.001213980669661144,sushi samba #7
SUSHISAMBA park,"245 park ave south,New York, NY  10003",3,Gramercy / Flatiron ,New York County, Japanese,121,3.8,50013681,0.12753883814789216,the house in gramercy park
Sushi Damo,"330 West 58th Street,New York, NY  10019",3,Midtown West ,New York County, Japanese,20,3.7,40812483,0.002218844831374275,sushi damo
Sushi of Gari,"402 East 78th Street,New York, NY  10075",4,Upper East Side ,New York County, Japanese,88,4.3,40577928,0.0024189562924462438,sushi of gari
Surya,"302 Bleecker St.,New York, NY  10014",2,SoHo ,New York County, Indian,17,3.8,50057094,0.017935168461869416,suprema
Sushi UO,"151 Rivington Street,1st Floor,New York, NY  10002",3,Lower East Side ,New York County, Sushi,24,3.9,50000261,0.032353491352456076,new york sushi ko
Sushi of Gari 46,"347 West 46th Street,New York, NY  10036",4,Theater District / Times Square ,New York County, Sushi,114,4.1,41220720,0.003975507672561183,sushi of gari 46
Tagine Dining Gallery / Lounge,"537 9th Avenue,New York, NY  10018",3,Midtown West ,New York County, Moroccan,2,2.0,40993654,0.028760431973259032,hells kitchen cafe/hk lounge
The Sunburnt Calf,"226 West 79th Street,New York, NY  10024",2,Upper West Side ,New York County, Gastro Pub,40,4.2,41252132,0.06655974107934838,europan cafe
Stuzzicheria,"305 Church St.,New York, NY  10013",2,TriBeCa - Downtown ,New York County, Italian,-1,-1,50001736,0.13215480802234778,terra
Strip House,"13 E. 12th St,New York, NY  10003",3,Greenwich Village ,New York County, Steakhouse,157,4.1,41629811,0.00023271445732110597,strip house
Suenos,"311 West 17th Street,New York, NY  10011",3,Chelsea ,New York County, Mexican / Southwestern,127,3.9,40532870,0.06406102077544719,starbucks
Stonehome Wine Bar & Restaurant,"87 Lafayette Ave.,Brooklyn, NY  11217",3,Fort Greene ,Kings County, Contemporary American,39,4.1,50035525,0.10545225550855553,yang no 1 asian restaurant
Stone Park Cafe,"324 5th Avenue,Brooklyn, NY  11215",3,Park Slope ,Kings County, Contemporary American,48,4.2,41022637,0.0016212536055477227,stone park cafe
Stone Rose,"10 Columbus Circle,New York, NY  10019",2,Columbus Circle ,New York County, Tapas / Small Plates,8,3.6,50004503,0.11548836238879719,maison kayser
Strand Restaurant at The Strand Hotel,"33 West 37th street,New York, NY  10018",3,Chelsea ,New York County, American,16,4.1,50053465,0.045966050416272344,havana ny restaurant & bar
Stella - Manhattan Bistro,"213 Front Street,New York, NY  10038",2,South Street Seaport ,New York County, American,13,3.8,50017223,0.15639554199406253,fairfield inn & suites new york manhattan financial district
Stecchino,"765 9th Avenue,New York, NY  10019",2,Theater District / Times Square ,New York County, Contemporary American,76,3.9,50033075,0.08250808761799304,torishin
Steak Frites Union Square,"9 East 16th Street,New York, NY  10003",2,Union Square ,New York County, French,87,3.4,41552224,0.10968288587506968,barnes & noble cafe
Steamer's Landing,"375 South End Avenue,New York, NY  10280",2,Battery Park ,New York County, Seafood,14,3.6,41507901,0.24575002263607457,the living room
Statler Grill,"136 W. 33rd Street,New York, NY  10001",3,Midtown West ,New York County, Steakhouse,-1,-1,41503082,0.0,statler grill
The Stanton Social,"99 Stanton Street,New York, NY  10002",3,Lower East Side ,New York County, Tapas / Small Plates,541,4.1,41503751,0.0,stanton social
Staghorn Steakhouse,"315 West 36th Street,New York, NY  10018",4,Midtown West ,New York County, Steakhouse,7,3.4,41187546,0.0031486420055475586,staghorn steakhouse
Spur Tree,"76 Orchard Street,New York, NY  10002",2,Lower East Side ,New York County, Caribbean,32,3.9,50048691,0.11422515083057104,a plus kitchen
The Stadium Grill At Bowlmor Lanes Times Square,"222 West 44th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, American,-1,-1,41538728,0.0,bowlmor lane
Spice Market,"403 West 13th Street,New York, NY  10014",3,Meatpacking District ,New York County, Southeast Asian,497,4.2,41187502,0.07092753662515765,scarpetta
Spina,"175 Avenue B,New York, NY  10009",3,East Village ,New York County, Italian,38,4.3,50002276,0.06564982330394688,donostia
SouthWest NY,"2 World Financial Center,New York, NY  10281",2,Financial District ,New York County, Southwest,62,3.5,50018903,0.24618574016571074,northern tiger
South Fin Grill,"300 Father Capodanno Blvd,Staten Island, NY  10305",3,Staten Island ,Richmond County, Seafood,27,4.0,41089821,0.012619358621775056,south fin grill/the vanderbilt
Southside 49,"420 West 49th Street,New York, NY  10019",2,Hell's Kitchen ,New York County, Italian,-1,-1,50009823,0.03684963750459848,pam real thai 49
South Gate,"154 Central Park South,New York, NY  10019",3,Midtown West ,New York County, American,148,3.8,50003545,0.11681738258314915,the wayfarer
Soto,"357 6th Avenue,New York, NY  10014",4,West Village ,New York County, Japanese,66,4.1,41252382,0.0031560737976383674,soto japanese restaurant
Sotto Cinque,"322 East 86th Street,New York, NY  10028",2,Upper East Side ,New York County, Italian,24,3.8,50057870,0.040075506237501335,tasti d lite
Sora Lella,"300 Spring Street,New York, NY  10013",3,SoHo ,New York County, Italian,30,3.5,50016265,0.008078062066232636,adoro lei
Son Cubano,"405 W 14th Street,New York, NY  10014",3,Meatpacking District ,New York County, Cuban,79,3.9,41006765,0.06906682909486514,dos caminos
Sosa Borella,"832 8th Avenue,New York, NY  10019",3,Theater District / Times Square ,New York County, Italian,96,3.9,41582149,0.06512396509854318,donna bell's bake shop
Sojourn Restaurant,"244 East 79th Street,New York, NY  10021",2,Upper East Side ,New York County, Contemporary American,60,3.8,50045530,0.10916341462657565,yuka restaurant
SOB's - Sounds of Brazil,"204 Varick Street,New York, NY  10014",2,SoHo ,New York County, Brazilian,34,3.6,40388194,0.021392551451467012,sob's
Snack Taverna,"63 Bedford St.,New York, NY  10014",3,West Village ,New York County, Greek,53,4.0,40942949,0.0018438917231610855,snack taverna
Smorgas Chef West Village,"283 West 12th Street,New York, NY  10014",2,West Village ,New York County, Scandinavian,73,4.1,50037179,0.14848174882150725,north village deli
Sol Y Sombra - Manhattan,"462 Amsterdam Avenue,New York, NY  10024",2,Upper West Side ,New York County, Tapas / Small Plates,28,3.3,41300058,0.07967387301512067,spiga ristorante
Smith & Wollensky - New York,"797 Third Avenue,New York, NY  10022",4,Midtown East ,New York County, Steakhouse,373,3.9,40370766,0.015440872394306363,smith & wollensky
Smorgas Chef @ Scandinavia House,"58 Park Avenue,New York, NY  10016",2,Murray Hill ,New York County, Scandinavian,58,3.7,41366873,0.004253182840152476,smorgas chef at scandinavia house
Slate Plus,"54 W. 21st Street,New York, NY  10010",2,Gramercy / Flatiron ,New York County, American,3,3.7,41422201,0.002271851463817879,slate
Smoke Jazz and Supper Club,"2751 Broadway,New York, NY  10025",3,Upper West Side ,New York County, Contemporary American,174,4.1,40689838,0.0,smoke
Sinigual - NY,"640 Third Avenue,New York, NY  10017",2,Midtown East ,New York County, Mexican,168,4.0,41661329,0.04195268715142682,sinigual restaurant
Simply Fondue - Glendale,"71-19 80th Street,Building 8,Glendale, NY  11385",3,Glendale ,Queens County, Fondue,20,3.8,41707407,0.6183841792796101,glendale diner
SIDECAR at P.J. Clarke's,"205 East 55th Street,New York, NY  10022",3,Midtown East ,New York County, American,60,3.9,40931258,0.007420667181403313,p.j. clarke's
Smorgas Chef Wall Street,"53 Stone Street,New York, NY  10004",2,Financial District ,New York County, Scandinavian,24,3.5,41019942,0.0,smorgas chef/ crepes du nord
Shun Lee Palace,"155 East 55th Street,New York, NY  10022",3,Midtown East ,New York County, Chinese,84,3.9,40366716,0.0022715400233948137,shun lee palace restaurant
Shun Lee West,"43 West 65th Street,New York, NY  10023",3,Lincoln Center ,New York County, Chinese,126,3.6,40373937,0.005346390202955716,shun lee
Shun Lee Cafe,"43 West 65th Street,New York, NY  10023",2,Lincoln Center ,New York County, Dim Sum,78,3.7,40373937,0.005346390202955716,shun lee
The Smith,"55 3rd Avenue,New York, NY  10003",2,East Village ,New York County, American,272,3.9,41298603,0.0,the smith
Shula's Steak House - NY,"270 West 43rd Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Steak,77,3.9,50052277,0.06590958664133513,sammy's house of bbq
Shorty's.32,"199 Prince St,New York, NY  10012",2,SoHo ,New York County, American,95,4.0,50013284,0.1037093018781122,soho room
Shiro of Japan - The Shops @ Atlas Park,"80-40 Cooper Ave,Glendale, NY  11385",2,Glendale ,Queens County, Japanese,-1,-1,41224493,0.0,shiro of japan (at atlas mall)
Shinbashi,"7 East 48th Street,New York, NY  10017",3,Midtown East ,New York County, Japanese,36,3.8,41259517,0.0,shinbashi japanese restaurant
Shang,"187 Orchard Street,New York, NY  10002",3,Lower East Side ,New York County, Pan-Asian,87,3.6,40716141,0.08717764226124028,sapphire lounge
SHI,"4620 Center Blvd.,Long Island City, NY  11109",3,Long Island City ,Queens County, Asian,46,4.0,41334633,0.11078613736292098,shi
Shelly's Big City,"41 West 57th Street,New York, NY  10019",3,Midtown West ,New York County, Italian,50,3.8,41658998,0.10378072428073035,billy's bakery
Shalezeh,"1420 Third Avenue,New York, NY  10021",3,Upper East Side ,New York County, Persian,68,4.0,40680918,0.038162365495811756,eli's table
SerRa Mediterranean BisTro,"16 East 32nd St.,New York, NY  10016",2,Murray Hill ,New York County, Mediterranean,21,3.5,41669112,0.047331548651851914,la vie en szechuan restaurant
Seven Bar & Grill,"350 7th Avenue,New York, NY  10001",3,Midtown West ,New York County, American,35,3.8,40749331,0.0008058918415152369,seven bar & grill
Serafina,"210 West 55th Street,New York, NY  10019",3,Midtown West ,New York County, Italian,67,3.5,41030615,0.002497229393417608,serafina
Seven's Mediterranean Turkish Grill,"158 West 72nd St.,New York, NY  10023",2,Upper West Side ,New York County, Turkish,38,3.5,41237280,0.0012750634249991634,seven turkish grill
Seasonal Restaurant and Weinbar,"132 West 58th Street,New York, NY  10019",2,Midtown West ,New York County, Austrian,199,4.1,50042945,0.11674919115863677,9ten restaurant
SD26 Restaurant,"19 East 26th Street,New York, NY  10010",4,Gramercy / Flatiron ,New York County, Italian,235,3.9,41282946,0.08960101507871836,ilili restaurant
Scarpetta,"355 West 14th Street,New York, NY  10014",3,Chelsea ,New York County, Italian,309,4.2,41187502,0.0,scarpetta
Scarpina Bar & Grill,"88 University Place,New York, NY  10003",2,Union Square ,New York County, Mediterranean,3,3.3,40379304,0.03754680258631418,gotham bar & grill
Scarlatto,"250 West 47th Street,New York, NY  10036",2,Theater District / Times Square ,New York County, Italian,288,3.7,41139263,0.0,scarlatto
Scaletta Restaurant,"50 West 77th St.,New York, NY  10024",3,Upper West Side ,New York County, Italian,89,3.9,40388214,0.004878236108797947,scaletta ristorante
Scalini Fedeli,"165 Duane Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Italian,173,4.5,40700724,0.0,scalini fedeli
Savore,"200 Spring Street,New York, NY  10012",3,SoHo ,New York County, Italian,51,3.9,40401025,0.0,savore
Savoy,"70 Prince Street,New York, NY  10012",3,SoHo ,New York County, American,112,3.8,41648536,0.04875950789516096,pravda
Savann,"414 Amsterdam Avenue,New York, NY  10024",2,Upper West Side ,New York County, Mediterranean,38,3.9,41578669,0.03193775946683872,saravana bhavan
Satsko,"245 Eldridge Street,New York, NY  10002",2,Lower East Side ,New York County, Sushi,1,2.0,50036413,0.10959333635427011,grayson
Saul Restaurant,"140 Smith St,Brooklyn, NY  11201",3,Boerum Hill ,Kings County, Contemporary American,119,4.1,41313083,0.11577311813770134,china hong restaurant
Sarabeth's West,"423 Amsterdam Avenue,New York, NY  10024",2,Upper West Side ,New York County, American,125,3.9,40617746,0.0003549290998864038,sarabeth's
Sarabeth's Central Park South,"40 Central Park South,New York, NY  10019",2,Midtown West ,New York County, American,209,3.8,41089876,0.0037724937576893145,sarabeth's
Sarabeth's East,"1295 Madison Avenue,New York, NY  10128",2,Upper East Side ,New York County, American,52,3.8,40577676,0.005866915304690605,sarabeth's kitchen
Sapphire,"1845 Broadway,New York, NY  10023",2,Lincoln Center ,New York County, Indian,96,3.9,40722258,0.0,sapphire indian cuisine
Santorini Grill,"167 Grand Street,Brooklyn, NY  11211",2,Williamsburg ,Kings County, Greek,-1,-1,50043739,0.03339718576703475,tikka indian grill
Sardi's,"234 West 44th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Continental,123,3.9,40396159,0.04707090527474315,carmine's
Sanfords Restaurant,"30-13 Broadway,Astoria, NY  11106",2,Astoria ,Queens County, Contemporary American,69,4.5,40662349,0.0,sanfords restaurant
Sangria 46,"338 West 46th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Spanish,44,3.7,41661506,0.0004565919136057096,sangria 46
Sant Ambroeus - West Village,"259 West 4th Street,New York, NY  10014",3,West Village ,New York County, Italian,35,4.2,40993101,0.0013472751902322882,sant ambroeus
Sant Ambroeus - Madison Avenue,"1000 Madison Avenue,New York, NY  10021",4,Upper East Side ,New York County, Italian,45,4.4,41120682,0.000938284495663981,sant ambroeus
Sambuca,"20 West 72nd Street,New York, NY  10023",2,Upper West Side ,New York County, Italian,55,3.7,40570775,0.09433414297715322,starbucks
Sanctuary T,"337B West Broadway,New York, NY  10013",2,SoHo ,New York County, Contemporary American,20,3.2,41269802,0.0,sanctuary t
Salute,"270 Madison Ave.,New York, NY  10016",4,Murray Hill ,New York County, Italian,65,3.4,50039077,0.0950465057738946,stout
