name,address,price,neighborhood,county,type,reviews,stars,lng,lat
Wave Restaurant at Danfords Hotel and Marina,"25 East Broadway,Port Jefferson, NY  11777",2,Port Jefferson ,Suffolk County, American,32,3.7,-73.06881109999999,40.9478011
Water's Edge,"401 44th Dr.,Long Island, NY  11101",4,Long Island City ,Queens County, American,52,3.7,-73.95533089999999,40.7498133
Waterzooi Belgian Bistro,"850 Franklin Avenue,Garden City, NY  11530",3,Garden City ,Nassau County, Belgian,103,4.1,-73.6351773,40.7273901
wd-50,"50 Clinton Street,New York, NY  10002",4,Lower East Side ,New York County, American,322,4.4,-73.984504,40.719605
Wall & Water,"75 Wall Street,New York, NY  10005",2,Financial District ,New York County, Contemporary American,107,4.0,-74.0079954,40.7051404
Vito's Tavern and Pizzeria,"136 Main Street,New Britain, CT  06051",2,Hartford / West Hartford ,Hartford County, Italian,9,4.1,-72.78203069999999,41.66586119999999
Vivo - Hartford,"200 Columbus Blvd,Hartford, CT  06103",2,Hartford / West Hartford ,Hartford County, Californian,25,4.1,-72.6693207,41.7638383
Vivas,"801 8th Ave,Belmar, NJ  07719",2,Belmar ,Monmouth County, Latin American,35,4.3,-74.02665120000002,40.1817145
Vito's By the Water,"1936 Blue Hills Avenue Ext,Windsor, CT  06095",2,Hartford / West Hartford ,Hartford County, Italian,49,3.9,-72.7349665,41.878986
Vu Restaurant @ Hyatt Jersey City,"2 Exchange Place,Jersey City, NJ  07302",3,Jersey City ,Hudson County, Contemporary American,23,3.8,-74.03173679999999,40.7171013
Vittorio's Restaurant & Wine Bar,"184 Broadway,Amityville, NY  11701",3,Amityville ,Suffolk County, Continental,50,4.5,-73.41772499999999,40.6785151
Water and Wine,"141 Stirling Rd,Watchung, NJ  07069",3,Watchung ,Somerset County, American,101,4.3,-74.4557138,40.6362298
Vito's By the Park,"26 Trumbull Street,Hartford, CT  06103",3,Hartford / West Hartford ,Hartford County, American,56,3.8,-72.6758274,41.7650979
Walls,"344 W. 11th St.,New York, NY  10014",3,West Village ,New York County, Austrian,145,4.2,-74.008212,40.73541
Vintage Irving,"118 East 15th Street,New York, NY  10003",3,Union Square ,New York County, Continental,31,3.6,-73.98876709999999,40.734666
Vine Street Cafe,"41 South Ferry Road,Shelter Island, NY  11964",4,Shelter Island ,Suffolk County, American,113,4.2,-72.3264575,41.063132
Villa Valenti,"369 West Sand Lake Rd,Wynantskill, NY  12198",2,Albany ,Rensselaer County, Italian,39,4.2,-73.62027599999999,42.670404
Vince and Eddie's,"70 West 68th Street,New York, NY  10019",3,Lincoln Center ,New York County, American,59,3.4,-73.9803005,40.77451629999999
Virtu,"284 Exchange Boulevard,Rochester, NY  14608",2,Rochester ,Monroe County, American,5,3.2,-77.6105376,43.1496482
The View Restaurant at the Mirror Lake Inn,"77 Mirror Lake Drive,Lake Placid, NY  12946",3,Lake Placid ,Essex County, Contemporary American,45,4.2,-73.98259900000001,44.2942279
The Village Trattoria,"135 West 3rd Street,New York, NY  10012",2,Greenwich Village ,New York County, Italian,5,3.4,-74.0008,40.7310035
Vintage Bar & Restaurant,"753 9th Ave,New York, NY  10019",2,Hell's Kitchen ,New York County, Comfort Food,15,3.2,-73.988901,40.76407349999999
Virgil's,"152 W 44th Street,New York, NY  10036",2,Theater District / Times Square ,New York County, American,408,3.8,-73.9851832,40.7567321
View,"3 Consuelo Place,Oakdale, NY  11769",3,Oakdale ,Suffolk County, Contemporary American,74,3.8,-73.142101,40.72679
Via Dei Mille,"357 West Broadway,New York, NY  10013",3,SoHo ,New York County, Italian,45,3.8,-74.0030577,40.7229378
ViceVersa,"325 West 51st Street,New York, NY  10019",3,Hell's Kitchen ,New York County, Italian,169,4.0,-73.98673450000001,40.7635745
Via 45,"45 Broad St.,Red Bank, NJ  07701",2,Red Bank ,Monmouth County, Italian,63,4.5,-74.0650987,40.3506479
Victor's Caf,"236 West 52nd Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Cuban,385,4.2,-73.9841014,40.7628909
The View Restaurant,"1535 Broadway,New York, NY  10036",4,Theater District / Times Square ,New York County, Contemporary American,491,4.0,-73.98624749999999,40.7586115
Vetro by Russo's on the Bay,"164-49 Cross Bay Blvd,Howard Beach, NY  11414",3,Howard Beach ,Queens County, Italian,60,4.6,-73.8373604,40.6494027
Vespa,"96 Northern Blvd.,Great Neck, NY  11021",2,Great Neck ,Nassau County, Italian,16,3.7,-73.731752,40.77444149999999
Vero - Cibo - Vino - Liquori Bar,"192 Broadway,Amityville, NY  11701",2,Amityville ,Suffolk County, Italian,-1,-1,-73.4177464,40.6787973
Verjus Restaurant,"1790 Springfield Avenue,Maplewood, NJ  07040",3,Maplewood ,Essex County, Contemporary French,60,4.1,-74.26569830000001,40.7214285
Veritas,"43 East 20th St.,New York, NY  10003",4,Gramercy / Flatiron ,New York County, Contemporary American,10,4.2,-73.988428,40.73885
Venue 56,"470 Wheeler Road,Hauppauge, NY  11788",3,Hauppauge ,Suffolk County, Contemporary American,23,3.4,-73.2186547,40.8133138
Veloce Pizzeria,"103 1st Avenue,New York, NY  10003",2,East Village ,New York County, Italian,13,4.1,-73.9863051,40.7267367
Verve Restaurant,"18 East Main Street,Somerville, NJ  08876",3,Somerville ,Somerset County, Steak,38,4.1,-74.611206,40.567682
Varka Fishhouse,"30 North Spruce Street,Ramsey, NJ  07446",3,Ramsey ,Bergen County, Mediterranean,105,4.1,-74.140081,41.05873
Vareli,"2869 Broadway,New York, NY  10025",2,Upper West Side ,New York County, Mediterranean,76,3.8,-73.96639379999999,40.80522879999999
Vatan Indian Restaurant,"409 Third Avenue,New York, NY  10016",3,Murray Hill ,New York County, Indian,71,4.1,-73.98022449999999,40.7423005
Veranda,"130 7th Ave. South,New York, NY  10014",2,West Village ,New York County, Mediterranean,13,3.2,-74.00251519999999,40.7345258
Vandaag,"103 2nd Avenue,New York, NY  10003",3,East Village ,New York County, European,46,3.4,-73.98876790000001,40.7276359
Valentino's Restaurant Park Ridge,"103 Spring Valley Road,Park Ridge, NJ  07656",3,Park Ridge ,Bergen County, Italian,17,3.5,-74.0581189,41.0370716
Venezia Restaurant & Bar,"2071 Clove Rd.,Staten Island, NY  10304",2,Staten Island ,Richmond County, Italian,1,4.0,-74.083122,40.6047589
Valentino's on the Green,"201-10 Cross Island Parkway,Bayside, NY  11360",3,Bayside ,Queens County, Italian,66,3.7,-73.7923368,40.7866256
Vega Mexican Cuisine,"187-189 E Hartsdale Avenue,Hartsdale, NY  10530",2,Hartsdale ,Westchester County, Mexican,-1,-1,-73.7959139,41.0124065
Valdebenito's,"18 W. Main St,Somerville, NJ  08878",2,Somerville ,Somerset County, Argentinean,40,4.0,-74.6121849,40.5685319
Vai Restaurant,"225 West 77th Street,New York, NY  10024",2,Upper West Side ,New York County, Mediterranean,97,3.6,-73.9803306,40.7822815
Utsav Indian Restaurant & Lounge,"1185 Avenue of the Americas,New York, NY  10036",3,Theater District / Times Square ,New York County, Indian,66,3.9,-73.9824244,40.7578756
Valbella Connecticut,"1309 East Putnam Avenue,Riverside, CT  06878",4,Riverside ,Fairfield County, Italian,12,4.2,-73.575476,41.0429963
Urban Plum,"300 Plaza Drive,Secaucus, NJ  07094",2,Secaucus ,Hudson County, Gastro Pub,2,3.0,-74.04424379999999,40.7865667
Valbella,"421 West 13th Street,New York, NY  10014",4,Meatpacking District ,New York County, Italian,86,4.3,-74.00696270000002,40.7409764
UpRoot Restaurant,"9 Mt. Bethel Road,Warren, NJ  07059",3,Warren ,Somerset County, Contemporary American,111,4.1,-74.4958765,40.6170887
Union Square Cafe,"21 East 16th St.,New York, NY  10003",3,Union Square ,New York County, American,844,4.3,-73.99126199999999,40.7368653
Uncle Jack's Steakhouse - Westside 9th Avenue,"440 9th Avenue,New York, NY  10001",3,Midtown West ,New York County, Steak,89,4.2,-73.9954924,40.7536713
Undici,"11 West River Road,Rumson, NJ  07760",2,Rumson ,Monmouth County, Italian,85,4.1,-74.0108855,40.3755511
Union League Cafe,"1032 Chapel Street,New Haven, CT  06510",3,New Haven ,New Haven County, French,86,4.5,-72.9296296,41.3073881
Tycoon - Body Sushi,"252 West 43rd Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Sushi,-1,-1,-73.9883447,40.7572531
Uncle Jack's Steakhouse - Bayside,"39-40 Bell Blvd.,Queens, NY  11361",3,Bayside ,Queens County, Steakhouse,51,4.5,-73.7716045,40.76418410000001
Uncle Jack's Steakhouse - Midtown 56th Street,"44 West 56th Street,New York, NY  10019",3,Midtown West ,New York County, Steak,71,4.2,-73.97669499999999,40.762982
TY - Four Seasons New York,"57 East 57th St.,New York, NY  10022",2,Midtown East ,New York County, American,-1,-1,-73.97160629999999,40.7621879
Two Steak & Sushi Den,"1270 Union Turnpike,New Hyde Park, NY  11040",3,New Hyde Park ,Nassau County, Steakhouse,197,3.8,-73.6993593,40.7528271
Twist Casual American Restaurant,"4290 Albany Post Road,Hyde Park, NY  12538",2,Hyde Park ,Dutchess County, American,22,4.0,-73.93291649999999,41.7843847
Turks and Frogs - Tribeca,"458  Greenwich St.,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Turkish,43,3.7,-74.0097423,40.72371709999999
Tula Restaurant & Lounge,"47 Easton Ave,New Brunswick, NJ  08901",2,New Brunswick ,Middlesex County, Contemporary American,35,3.8,-74.4489294,40.4978561
Trodos Mediterranean Restaurant,"477 Old Country Road,Westbury, NY  11590",2,Westbury ,Nassau County, Mediterranean,18,3.9,-73.59591809999999,40.74681959999999
Trumbull Kitchen,"150 Trumbull St.,Hartford, CT  06103",3,Hartford / West Hartford ,Hartford County, Fusion / Eclectic,159,4.1,-72.6753458,41.766701
Triumph Brewing Company - Princeton,"138 Nassau Street,Princeton, NJ  08542",2,Princeton ,Mercer County, American,50,3.6,-74.65826489999999,40.35043719999999
Tutti Vous,"348 Bloomfield Ave,Montclair, NJ  07042",2,Montclair ,Essex County, Contemporary American,25,3.7,-74.2152356,40.81186659999999
Tuscan Oven Trattoria,"544 Main Avenue,Norwalk, CT  06851",2,Norwalk ,Fairfield County, Italian,21,3.8,-73.422472,41.155496
Triomphe,"49 West 44th Street,New York, NY  10036",3,Midtown West ,New York County, French,147,4.2,-73.98195849999999,40.7558788
Trinity Place,"115 Broadway,New York, NY  10006",2,Financial District ,New York County, Contemporary American,28,3.8,-74.01143259999999,40.708882
Tribeca Grill,"375 Greenwich St,New York, NY  10013",3,TriBeCa - Downtown ,New York County, American,409,4.0,-74.00989899999999,40.7196079
Trinity - Hoboken,"306 Sinatra Drive,Hoboken, NJ  07030",2,Hoboken ,Hudson County, Irish,18,3.3,-74.027293,40.7396671
Treva,"980 Farmington Ave.,West Hartford,, CT  06107",2,West Hartford ,Hartford County, Italian,-1,-1,-72.74432279999999,41.7615381
Trevi Ristorante,"11 Taylor Square,West Harrison, NY  10604",3,West Harrison ,Westchester County, Italian,23,4.0,-73.7482426,41.0418828
Trestle on Tenth,"242 Tenth Avenue,New York, NY  10001",3,Chelsea ,New York County, Contemporary American,114,3.9,-74.00343160000001,40.748382
Tree,"190 1st Ave.,New York, NY  10009",2,East Village ,New York County, French,81,3.6,-73.983512,40.729627
Tredici Steak,"128 West 26th Street,New York, NY  10001",3,Chelsea ,New York County, Steak,65,3.9,-73.9927646,40.745134
Tre Otto,"1408 Madison Avenue,New York, NY  10029",3,Upper East Side ,New York County, Italian,45,3.6,-73.95370299999999,40.788365
Trattoria Dell'Arte,"900 Seventh Avenue,New York, NY  10019",3,Midtown West ,New York County, Italian,306,3.9,-73.9804753,40.765358
Travertine,"19 Kenmare Street,New York, NY  10012",3,NoLita ,New York County, Italian,70,3.8,-73.994593,40.7206906
Tre,"173 Ludlow Street,New York, NY  10002",3,Lower East Side ,New York County, Italian,31,3.7,-73.9877072,40.72183709999999
Tre Dici,"128 West 26th Street,New York, NY  10001",3,Chelsea ,New York County, Italian,68,4.0,-73.9927646,40.745134
Trata East - Hamptons,"1020 Montauk Highway,Water Mill, NY  11976",4,Water Mill ,Suffolk County, Greek,29,3.5,-72.34639419999999,40.9166548
Trata Estiatorio Roslyn,"1446 Old Northern Blvd,Roslyn, NY  11576",4,Roslyn ,Nassau County, Greek,87,3.9,-73.6467461,40.80222610000001
Tout Va Bien,"311 west 51st street,New York, NY  10019",3,Midtown West ,New York County, French,68,4.0,-73.98621899999999,40.763406
Trattoria Cinque,"363 Greenwich Street,New York, NY  10013",2,TriBeCa - Downtown ,New York County, Italian,179,3.5,-74.0099857,40.7190871
Tre Piani & Tre Bar,"120 Rockingham Row,Princeton, NJ  08540",3,Princeton ,Middlesex County, Italian,66,3.8,-74.61354,40.355767
Tony's Di Napoli - Midtown,"147 West 43rd Street,New York, NY  10036",2,Midtown West ,New York County, Italian,407,4.2,-73.98540179999999,40.7565018
Top of the Tower,"3 Mitchell Place,26th Floor,New York, NY  10017",2,Midtown East ,New York County, Contemporary American,87,3.7,-73.9661737,40.753401
Touch of India,"232 West 37th Street,New York, NY  10018",2,Theater District / Times Square ,New York County, Indian,1,3.0,-73.9907779,40.7533258
Tombolino Ristorante,"356 Kimball Avenue,Yonkers, NY  10704",3,Yonkers ,Westchester County, Italian,28,3.7,-73.8576983,40.9132022
Tony's Di Napoli,"1606 2nd Avenue,New York, NY  10028",2,Upper East Side ,New York County, Italian,64,4.1,-73.9530396,40.7762227
Tomaso's,"163 Old River Road,Edgewater, NJ  07020",2,Edgewater ,Bergen County, Italian,14,3.8,-73.9926418,40.8070203
Tom & Toon,"241 West 51st St.,New York, NY  10019",2,Theater District / Times Square ,New York County, American,20,3.7,-73.9849368,40.7627761
Toloache,"251 West 50th Street,New York, NY  10012",2,Theater District / Times Square ,New York County, Mexican,316,4.0,-73.9855741,40.7623091
Torches,"1141 Kenmore Avenue,Kenmore, NY  14217",2,Kenmore ,Erie County, Fusion / Eclectic,45,4.4,-78.8602365,42.9588496
Tolani,"410 Amsterdam Ave,New York, NY  10024",2,Upper West Side ,New York County, European,23,4.3,-73.978337,40.783671
Toku Modern Asian,"2014c Northern Blvd,Manhasset, NY  11030",4,Manhasset ,Nassau County, Japanese,46,4.2,-73.6725776,40.7958662
Tipsy Parson,"156 Ninth Avenue,New York, NY  10011",3,Chelsea ,New York County, American,116,4.0,-74.00264729999999,40.744247
Tim Shafer's Cuisine,"82 Speedwell Avenue,Morristown, NJ  07960",2,Morristown ,Morris County, American,50,4.2,-74.4820244,40.8004579
THOR,"107 Rivington Street,New York, NY  10002",2,Lower East Side ,New York County, International,15,2.9,-73.98809299999999,40.719762
Tim McLoone's Supper Club,"1200 Ocean Avenue,Asbury Park, NJ  07712",2,Asbury Park ,Monmouth County, American,9,3.6,-73.9991083,40.2228108
Thyme Restaurant & Cafe Bar,"8 Tower Place,Roslyn, NY  11576",3,Roslyn ,Nassau County, Contemporary American,-1,-1,-73.65019290000001,40.7995241
Tocqueville,"1 East 15th Street,New York, NY  10003",4,Union Square ,New York County, American,180,4.3,-73.9927131,40.7366772
Thalia,"828 Eighth Avenue,New York, NY  10019",3,Theater District / Times Square ,New York County, American,36,4.1,-73.9860031,40.7620089
Theater Square Grill,"One Center Street,Newark, NJ  07102",3,Newark ,Essex County, American,41,3.4,-74.1673386,40.7401487
Thalassa,"179 Franklin Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Greek,122,4.0,-74.0095522,40.7192099
Thali Regional Cuisine of India - New Haven,"4 Orange Street,New Haven, CT  06510",3,New Haven ,New Haven County, Indian,22,4.5,-72.9257415,41.3035509
Thai House,"53 West Main Street,Smithtown, NY  11787",2,Smithtown ,Suffolk County, Thai,26,4.0,-73.1966439,40.8551148
Thali Regional Cuisine of India - New Canaan,"87 Main Street,New Canaan, CT  06840",3,New Canaan ,Fairfield County, Indian,10,4.2,-73.49288659999999,41.1477857
Testaccio Ristorante,"47-30 Vernon Blvd.,Long Island City, NY  11101",3,Long Island City ,Queens County, Italian,25,3.8,-73.9537047,40.744673
The Terrace at Hilton Short Hills,"41 JFK Parkway,Short Hills, NJ  07078",2,Short Hills ,Essex County, American,10,3.1,-74.36650159999999,40.7427955
Thali Regional Cuisine of India- Westport,"376 Post Rd. East,Westport, CT  06880",3,Westport ,Fairfield County, Indian,25,3.9,-73.35258879999999,41.1401189
Teresa Caffe,"21-23 Palmer Square East,Princeton, NJ  08540",2,Princeton ,Mercer County, Italian,9,3.7,-74.66129509999999,40.3497587
Terrace in the Sky,"400 West 119th Street,New York, NY  10027",4,Upper West Side ,New York County, French,43,3.6,-73.95853070000001,40.8081372
Terrapin Restaurant,"6426 Montgomery Street,Rhinebeck, NY  12572",3,Rhinebeck ,Dutchess County, Contemporary American,108,4.1,-73.9124605,41.9282799
Terra Mar at the Saybrook Point Inn & Spa,"Two Bridge Street,Old Saybrook, CT  06475",3,Old Saybrook ,Middlesex County, Contemporary American,46,4.1,-72.35053549999999,41.2835332
Terrazza Toscana,"50th. Street,New York, NY  10019",3,Midtown West ,, Italian,48,3.8,-73.98896479999999,40.76349370000001
Ten East Hibachi and Sake Lounge,"125 Lefante Way,Bayonne, NJ  07002",2,Bayonne ,Hudson County, Japanese,32,4.3,-74.09948829999999,40.6620289
Tempo Restaurant,"581 Delaware Avenue,Buffalo, NY  14202",3,Buffalo ,Erie County, Italian,95,4.5,-78.87333520000001,42.8999591
Tellers An American Chophouse,"605 Main Street,Islip, NY  11751",4,Islip ,Suffolk County, Steak,138,4.2,-73.2119433,40.72985180000001
Telepan,"72 W. 69th Street,New York, NY  10023",4,Upper West Side ,New York County, Contemporary American,430,4.3,-73.97989749999999,40.7751478
Tavolo,"45 Atlantic Avenue,Long Branch, NJ  07740",3,Long Branch ,Monmouth County, Italian,18,3.9,-73.9787521,40.3206882
Taureau,"127 East 7th Street,New York, NY  10009",3,East Village ,New York County, Fondue,102,4.5,-73.9839874,40.7264539
Tel Aviv,"613 Middle Neck Rd,Great Neck, NY  11021",2,Great Neck ,Nassau County, Israeli,12,4.0,-73.73570169999999,40.8031508
Tavern58 at Gibbs,"58 University Avenue,Rochester, NY  14605",2,Rochester ,Monroe County, Contemporary American,40,4.3,-77.6010553,43.1611301
Taste 99,"99 Quaker Meeting House Road,Farmingdale, NY  11735",2,Farmingdale ,Nassau County, Tapas / Small Plates,14,3.5,-73.4581242,40.7407587
Taverna Mykonos,"238 Broadway,Elmwood Park, NJ  07407",2,Elmwood Park ,Bergen County, Greek,80,4.4,-74.1190935,40.9204675
T-BAR Steak & Lounge,"1278 3rd Avenue,New York, NY  10028",3,Upper East Side ,New York County, Steakhouse,118,3.9,-73.9600923,40.7707731
Tawa,"211 Summer Street,Stamford, CT  06901",2,Stamford ,Fairfield County, Indian,25,4.2,-73.5404032,41.0547491
Tarry Lodge,"18 Mill Street,Port Chester, NY  10573",3,Port Chester ,Westchester County, Italian,541,4.0,-73.65977,41.0040197
Tartinery,"209 Mulberry Street,New York, NY  10012",2,NoLita ,New York County, French,56,3.6,-73.9964579,40.7218195
The Taste of New York Restaurant at New York Wine and Culinary Center,"800 South Main St.,Canandaigua, NY  14424",2,Canandaigua ,Ontario County, Contemporary American,54,4.1,-77.2733195,42.8758683
Tapeo 29,"29 Clinton Street,New York, NY  10002",2,Lower East Side ,New York County, Tapas / Small Plates,40,4.1,-73.9845338,40.7203841
The Tap House,"16 Depot Square,Tuckahoe, NY  10707",3,Tuckahoe ,Westchester County, Gastro Pub,56,3.9,-73.8277159,40.9501458
Tarallucci E Vino,"15 East 18th Street,New York, NY  10003",3,Gramercy / Flatiron ,New York County, Italian,57,3.8,-73.9906044,40.7382012
Tao,"42 East 58th Street,New York, NY  10022",3,Midtown East ,New York County, Asian,826,4.0,-73.9714884,40.76255889999999
Tango Grill,"128 East Post Road,White Plains, NY  10601",3,White Plains ,Westchester County, Italian,21,3.8,-73.7662288,41.0285438
Tamarind,"41-43 E. 22nd St,New York, NY  10010",3,Gramercy / Flatiron ,New York County, Indian,267,4.2,-73.9874533,40.7399149
Tacocina Restaurant,"714 9th Avenue,New York, NY  10019",2,Hell's Kitchen ,New York County, Mexican / Southwestern,21,3.8,-73.9892679,40.7625816
Tamarind - Tribeca,"99 Hudson Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Indian,188,4.1,-74.00907769999999,40.7190816
Templeton Landing,"2 Templeton Terrace,Buffalo, NY  14202",2,Buffalo ,Erie County, American,55,3.6,-78.8849765,42.8795325
Tamba Indian Grill and Bar,"103 Lexington Ave,New York, NY  10016",2,Murray Hill ,New York County, Indian,-1,-1,-73.9825013,40.7421434
Taj - New York,"48 W. 21st Street,New York, NY  10010",3,Gramercy / Flatiron ,New York County, French / Indian,10,3.4,-73.99291749999999,40.7410469
Tango Creative Eatery,"2935 Main St.,Glastonbury, CT  06033",2,Glastonbury ,Hartford County, Contemporary American,-1,-1,-72.6156244,41.7237077
Taboon,"773 10th Avenue,New York, NY  10019",4,Hell's Kitchen ,New York County, Middle Eastern,34,4.1,-73.9910064,40.7662319
Tabla,"11 Madison Avenue,New York, NY  10010",3,Gramercy / Flatiron ,New York County, Indian,367,4.1,-73.9870352,40.7415343
Swizz Restaurant,"310 West 53rd Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Fondue,43,4.2,-73.98542549999999,40.7643284
Sweet Grass Grill,"24 Main Street,Tarrytown, NY  10591",2,Tarrytown ,Westchester County, American,100,4.0,-73.8595048,41.0763362
